action,tool,in_static_ui_layout,verification,followup_stage
common.API.pluginsReload,common.API,no,Registered; individual UI behavior not verified,8
common.Checker.excludeMarker,common.Checker,no,Registered; individual UI behavior not verified,13
common.Checker.nextMarker,common.Checker,no,Registered; individual UI behavior not verified,13
common.Checker.prevMarker,common.Checker,no,Registered; individual UI behavior not verified,13
common.Control.activatePointEditor,common.Control,no,Registered; individual UI behavior not verified,8
common.Control.addLibrary,common.Control,no,Registered; individual UI behavior not verified,8
common.Control.centerContents,common.Control,no,Registered; individual UI behavior not verified,8
common.Control.centerJustify,common.Control,no,Registered; individual UI behavior not verified,8
common.Control.centerSelection,common.Control,no,Registered; individual UI behavior not verified,8
common.Control.collapseAll,common.Control,no,Registered; individual UI behavior not verified,8
common.Control.cursor45Crosshairs,common.Control,no,Registered; individual UI behavior not verified,8
common.Control.cursorClick,common.Control,no,Registered; individual UI behavior not verified,8
common.Control.cursorDblClick,common.Control,no,Registered; individual UI behavior not verified,8
common.Control.cursorDown,common.Control,no,Registered; individual UI behavior not verified,8
common.Control.cursorDownFast,common.Control,no,Registered; individual UI behavior not verified,8
common.Control.cursorFullCrosshairs,common.Control,no,Registered; individual UI behavior not verified,8
common.Control.cursorLeft,common.Control,no,Registered; individual UI behavior not verified,8
common.Control.cursorLeftFast,common.Control,no,Registered; individual UI behavior not verified,8
common.Control.cursorRight,common.Control,no,Registered; individual UI behavior not verified,8
common.Control.cursorRightFast,common.Control,no,Registered; individual UI behavior not verified,8
common.Control.cursorSmallCrosshairs,common.Control,no,Registered; individual UI behavior not verified,8
common.Control.cursorUp,common.Control,no,Registered; individual UI behavior not verified,8
common.Control.cursorUpFast,common.Control,no,Registered; individual UI behavior not verified,8
common.Control.ddaddLibrary,common.Control,no,Registered; individual UI behavior not verified,8
common.Control.editGridOrigin,common.Control,no,Registered; individual UI behavior not verified,8
common.Control.editGrids,common.Control,yes,Registered; individual UI behavior not verified,8
common.Control.expandAll,common.Control,no,Registered; individual UI behavior not verified,8
common.Control.gridFast1,common.Control,no,Registered; individual UI behavior not verified,8
common.Control.gridFast2,common.Control,no,Registered; individual UI behavior not verified,8
common.Control.gridFastCycle,common.Control,no,Registered; individual UI behavior not verified,8
common.Control.gridNext,common.Control,yes,Registered; individual UI behavior not verified,8
common.Control.gridPreset,common.Control,no,Registered; individual UI behavior not verified,8
common.Control.gridPrev,common.Control,no,Registered; individual UI behavior not verified,8
common.Control.gridResetOrigin,common.Control,no,Registered; individual UI behavior not verified,8
common.Control.gridSetOrigin,common.Control,no,Registered; individual UI behavior not verified,8
common.Control.hideLibraryTree,common.Control,no,Registered; individual UI behavior not verified,8
common.Control.highContrastMode,common.Control,no,Registered; individual UI behavior not verified,8
common.Control.highContrastModeCycle,common.Control,no,Registered; individual UI behavior not verified,8
common.Control.imperialUnits,common.Control,no,Registered; individual UI behavior not verified,8
common.Control.leftJustify,common.Control,no,Registered; individual UI behavior not verified,8
common.Control.libraryTreeSearch,common.Control,no,Registered; individual UI behavior not verified,8
common.Control.metricUnits,common.Control,no,Registered; individual UI behavior not verified,8
common.Control.mils,common.Control,no,Registered; individual UI behavior not verified,8
common.Control.new,common.Control,yes,Registered; individual UI behavior not verified,8
common.Control.newLibrary,common.Control,no,Registered; individual UI behavior not verified,8
common.Control.open,common.Control,yes,Registered; individual UI behavior not verified,8
common.Control.openDirectory,common.Control,no,Registered; individual UI behavior not verified,8
common.Control.openWithTextEditor,common.Control,no,Registered; individual UI behavior not verified,8
common.Control.pageSettings,common.Control,yes,Registered; individual UI behavior not verified,8
common.Control.panDown,common.Control,no,Registered; individual UI behavior not verified,8
common.Control.panLeft,common.Control,no,Registered; individual UI behavior not verified,8
common.Control.panRight,common.Control,no,Registered; individual UI behavior not verified,8
common.Control.panUp,common.Control,no,Registered; individual UI behavior not verified,8
common.Control.pinLibrary,common.Control,no,Registered; individual UI behavior not verified,8
common.Control.plot,common.Control,yes,Registered; individual UI behavior not verified,8
common.Control.print,common.Control,yes,Registered; individual UI behavior not verified,8
common.Control.quit,common.Control,yes,Registered; individual UI behavior not verified,8
common.Control.redoZoom,common.Control,no,Registered; individual UI behavior not verified,8
common.Control.refreshPreview,common.Control,no,Registered; individual UI behavior not verified,8
common.Control.resetLocalCoords,common.Control,no,Registered; individual UI behavior not verified,8
common.Control.revert,common.Control,yes,Registered; individual UI behavior not verified,8
common.Control.rightJustify,common.Control,no,Registered; individual UI behavior not verified,8
common.Control.save,common.Control,yes,AnEditSurvivesASaveAndAReload,6
common.Control.saveAll,common.Control,yes,Registered; individual UI behavior not verified,8
common.Control.saveAs,common.Control,yes,Registered; individual UI behavior not verified,8
common.Control.saveCopy,common.Control,no,Registered; individual UI behavior not verified,8
common.Control.selectColumns,common.Control,no,Registered; individual UI behavior not verified,8
common.Control.show3DViewer,common.Control,no,Registered; individual UI behavior not verified,8
common.Control.showCalculatorTools,common.Control,no,Registered; individual UI behavior not verified,8
common.Control.showContextMenu,common.Control,no,Registered; individual UI behavior not verified,8
common.Control.showDatasheet,common.Control,no,Registered; individual UI behavior not verified,8
common.Control.showFootprintBrowser,common.Control,no,Registered; individual UI behavior not verified,8
common.Control.showFootprintEditor,common.Control,no,Registered; individual UI behavior not verified,8
common.Control.showLibraryTree,common.Control,no,Registered; individual UI behavior not verified,8
common.Control.showProjectManager,common.Control,no,Registered; individual UI behavior not verified,8
common.Control.showProperties,common.Control,no,Registered; individual UI behavior not verified,8
common.Control.showSymbolBrowser,common.Control,yes,Registered; individual UI behavior not verified,8
common.Control.showSymbolEditor,common.Control,yes,Registered; individual UI behavior not verified,8
common.Control.toggleBoundingBoxes,common.Control,no,Registered; individual UI behavior not verified,8
common.Control.toggleCursor,common.Control,no,Registered; individual UI behavior not verified,8
common.Control.toggleGrid,common.Control,yes,Registered; individual UI behavior not verified,8
common.Control.toggleGridOverrides,common.Control,no,Registered; individual UI behavior not verified,8
common.Control.togglePolarCoords,common.Control,no,Registered; individual UI behavior not verified,8
common.Control.toggleUnits,common.Control,yes,Registered; individual UI behavior not verified,8
common.Control.undoZoom,common.Control,no,Registered; individual UI behavior not verified,8
common.Control.unpinLibrary,common.Control,no,Registered; individual UI behavior not verified,8
common.Control.updateFind,common.Control,no,Registered; individual UI behavior not verified,8
common.Control.updatePcbFromSchematic,common.Control,yes,Registered; individual UI behavior not verified,8
common.Control.updatePreferences,common.Control,no,Registered; individual UI behavior not verified,8
common.Control.updateSchematicFromPCB,common.Control,yes,Registered; individual UI behavior not verified,8
common.Control.updateUnits,common.Control,no,Registered; individual UI behavior not verified,8
common.Control.zoomCenter,common.Control,no,Registered; individual UI behavior not verified,8
common.Control.zoomFitObjects,common.Control,yes,Registered; individual UI behavior not verified,8
common.Control.zoomFitScreen,common.Control,yes,Registered; individual UI behavior not verified,8
common.Control.zoomFitSelection,common.Control,no,Registered; individual UI behavior not verified,8
common.Control.zoomIn,common.Control,yes,Registered; individual UI behavior not verified,8
common.Control.zoomInCenter,common.Control,no,Registered; individual UI behavior not verified,8
common.Control.zoomInHorizontally,common.Control,no,Registered; individual UI behavior not verified,8
common.Control.zoomInVertically,common.Control,no,Registered; individual UI behavior not verified,8
common.Control.zoomOut,common.Control,yes,Registered; individual UI behavior not verified,8
common.Control.zoomOutCenter,common.Control,no,Registered; individual UI behavior not verified,8
common.Control.zoomOutHorizontally,common.Control,no,Registered; individual UI behavior not verified,8
common.Control.zoomOutVertically,common.Control,no,Registered; individual UI behavior not verified,8
common.Control.zoomPreset,common.Control,yes,Registered; individual UI behavior not verified,8
common.Control.zoomRedraw,common.Control,no,Registered; individual UI behavior not verified,8
common.Control.zoomTool,common.Control,no,Registered; individual UI behavior not verified,8
common.Embed.embededFile,common.Embed,no,Registered; individual UI behavior not verified,8
common.Embed.extractFile,common.Embed,no,Registered; individual UI behavior not verified,8
common.Embed.removeFile,common.Embed,no,Registered; individual UI behavior not verified,8
common.Groups.groupProperties,common.Groups,no,Registered; individual UI behavior not verified,8
common.Groups.selectNewGroupMember,common.Groups,no,Registered; individual UI behavior not verified,8
common.Interactive.addToGroup,common.Interactive,no,Registered; individual UI behavior not verified,8
common.Interactive.cancel,common.Interactive,yes,Registered; individual UI behavior not verified,8
common.Interactive.copy,common.Interactive,yes,Registered; individual UI behavior not verified,8
common.Interactive.copyAsText,common.Interactive,no,Registered; individual UI behavior not verified,8
common.Interactive.cut,common.Interactive,yes,Registered; individual UI behavior not verified,8
common.Interactive.cycleArcEditMode,common.Interactive,no,Registered; individual UI behavior not verified,8
common.Interactive.delete,common.Interactive,yes,JunctionDeletionMergesWiresAndBusesAndRoundTrips,6
common.Interactive.deleteTool,common.Interactive,yes,Registered; individual UI behavior not verified,8
common.Interactive.duplicate,common.Interactive,yes,CancelMoveAndDuplicatePreservesIdentityAndUndo; DuplicateAndRepeatCommitOnceWithFreshIdentity,6
common.Interactive.find,common.Interactive,yes,Registered; individual UI behavior not verified,8
common.Interactive.findAndReplace,common.Interactive,yes,Registered; individual UI behavior not verified,8
common.Interactive.findNext,common.Interactive,yes,Registered; individual UI behavior not verified,8
common.Interactive.findNextMarker,common.Interactive,no,Registered; individual UI behavior not verified,8
common.Interactive.findPrevious,common.Interactive,no,Registered; individual UI behavior not verified,8
common.Interactive.finish,common.Interactive,no,Registered; individual UI behavior not verified,8
common.Interactive.group,common.Interactive,no,Registered; individual UI behavior not verified,8
common.Interactive.groupEnter,common.Interactive,no,Registered; individual UI behavior not verified,8
common.Interactive.groupLeave,common.Interactive,no,Registered; individual UI behavior not verified,8
common.Interactive.measureTool,common.Interactive,yes,Registered; individual UI behavior not verified,8
common.Interactive.paste,common.Interactive,yes,Registered; individual UI behavior not verified,8
common.Interactive.pasteSpecial,common.Interactive,no,Registered; individual UI behavior not verified,8
common.Interactive.redo,common.Interactive,yes,AnEditIsRecordedUndoneAndRedone,6
common.Interactive.removeFromGroup,common.Interactive,no,Registered; individual UI behavior not verified,8
common.Interactive.replaceAll,common.Interactive,no,Registered; individual UI behavior not verified,8
common.Interactive.replaceAndFindNext,common.Interactive,no,Registered; individual UI behavior not verified,8
common.Interactive.search,common.Interactive,no,Registered; individual UI behavior not verified,8
common.Interactive.selectAll,common.Interactive,yes,Registered; individual UI behavior not verified,8
common.Interactive.selectSetLasso,common.Interactive,no,Registered; individual UI behavior not verified,8
common.Interactive.selectSetRect,common.Interactive,no,Registered; individual UI behavior not verified,8
